NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC,flag
4410,3816,3815,9895.5,0,0,5,38.0,"B,C,W",1
4409,3811,3814,9894.5,0,0,4,45.7,"B,C,W",1
4408,3811,3805,4654.5,0,0,4,51.8,"B,C,W",1
4407,3805,3813,4653.5,0,0,4,48.8,"B,C,W",1
4406,3813,2852,4652.5,0,0,4,51.3,"B,C,W",1
4405,3813,3812,4651.5,0,0,5,42.9,"B,C,W",1
4404,3808,3811,4650.5,0,0,5,43.3,"B,C,W",1
4403,3809,3810,7557.5,0,0,3,60.0,"B,C,W",0
4402,3804,3808,4648.5,0,0,4,52.05,"B,C,W",1
4401,3807,3806,4647.5,0,0,4,50.5,"B,C,W",1
4400,2852,3804,4646.5,0,0,4,45.0,"B,C,W",1
4399,3805,3804,4645.5,0,0,4,45.6,"B,C,W",1
4398,3804,3803,4644.5,0,0,3,59.9,"B,C,W",1
4397,2760,2853,4643.5,0,0,4,48.8,"B,C,W",1
4396,3802,2853,4642.5,0,0,4,48.8,"B,C,W",0
4395,3800,3801,9893.5,0,0,3,55.7,"B,C,W",0
4387,2196,1189,4633.5,0,1,1,81.9,"B,C,W",1
4264,3684,654,4499.5,0,1,1,90.6,"B,C,W",1
4180,3613,3614,4413.5,0,0,5,35.4,"B,C,W",0
4064,3269,3548,4287.5,0,0,4,53.45,"B,C,W",1
3981,3001,3403,4200.5,0,0,5,39.9,"B,C,W",1
3596,3287,3286,3795.5,0,0,2,66.6,"B,C,W",1
3548,3212,3236,9829.5,0,0,4,53.3,"B,C,W",0
3342,3003,3002,9817.5,0,0,3,55.5,"B,C,W",1
3341,3002,3001,3522.5,0,0,3,50.1,"B,C,W",1
3340,3000,2417,9816.5,0,0,3,57.1,"B,C,W",1
3302,2197,2198,3483.5,0,1,1,68.4,"B,C,W",1
3299,652,2197,3480.5,0,1,1,66.3,"B,C,W",1
3298,1702,2198,3479.5,0,1,1,80.9,"B,C,W",1
3297,2844,2976,9810.5,0,0,4,54.0,"B,C,W",1
3296,2975,1272,3477.5,0,0,5,36.8,"B,C,W",1
3294,2172,1953,3475.5,0,0,5,40.85,"B,C,W",1
3293,2975,1338,3474.5,0,0,4,45.6,"B,C,W",1
3261,470,2264,3435.5,0,0,3,58.3,"B,C,W",0
3258,1143,759,3432.5,0,0,5,41.85,"B,C,W",1
3179,1952,2936,9801.5,0,0,5,44.4,"B,C,W",1
3178,2188,1665,3343.5,0,0,4,45.55,"B,C,W",1
3159,2759,2927,3315.5,0,1,1,86.6,"B,C,W",1
3158,2927,2762,3314.5,0,1,1,89.3,"B,C,W",1
3157,2926,2762,3313.5,0,1,1,89.6,"B,C,W",0
3097,2897,2896,15040.5,0,0,4,47.8,"B,C,W",1
3071,2118,2515,3216.5,0,0,4,49.2,"B,C,W",1
3059,2146,2504,3203.5,0,0,5,33.8,"B,C,W",1
3058,936,2504,3202.5,0,0,5,32.0,"B,C,W",1
3047,1601,1953,3191.5,0,0,5,36.35,"B,C,W",1
3046,758,1953,3190.5,0,0,5,37.1,"B,C,W",1
3017,2853,2852,3158.5,0,0,4,53.9,"B,C,W",1
2991,2514,2844,3130.5,0,0,5,36.0,"B,C,W",1
2990,2118,2844,3129.5,0,0,4,45.3,"B,C,W",1
2917,2825,1701,3051.5,0,0,4,50.1,"B,C,W",1
2895,2190,1601,3028.5,0,0,5,33.3,"B,C,W",1
2830,2791,2790,9781.5,0,0,5,40.2,"B,C,W",1
2784,2697,2763,2911.5,0,0,5,37.95,"B,C,W",1
2783,120,2697,2910.5,0,0,5,39.45,"B,C,W",1
2782,590,2697,2909.5,0,0,5,44.4,"B,C,W",1
2778,2761,2760,2905.5,0,0,3,57.4,"B,C,W",1
2775,1206,2758,9777.5,0,0,5,32.6,"B,C,W",1
2774,1338,2757,9776.5,0,0,5,42.75,"B,C,W",1
2773,716,2756,2900.5,0,0,5,38.6,"B,C,W",1
2736,2188,1082,2863.5,0,0,4,45.9,"B,C,W",1
2717,2726,2725,9766.5,0,0,4,46.7,"B,C,W",1
2678,1919,120,2801.5,0,0,5,38.3,"B,C,W",1
2677,2383,120,2800.5,0,0,5,44.8,"B,C,W",1
2663,2697,119,2786.5,0,0,5,38.7,"B,C,W",1
2662,2516,119,2785.5,0,0,5,44.0,"B,C,W",1
2641,1803,927,2764.5,0,0,3,64.1,"B,C,W",1
2630,1504,2454,2753.5,0,0,3,56.2,"B,C,W",1
2528,285,1446,2646.5,0,1,1,81.3,"B,C,W",0
2380,2515,1505,2490.5,0,0,3,58.6,"B,C,W",1
2365,1506,1110,2475.5,0,0,5,40.2,"B,C,W",1
2364,2454,1110,2474.5,0,0,5,32.5,"B,C,W",1
2331,2530,1613,2431.5,0,0,5,38.7,"B,C,W",1
2330,2529,1613,2430.5,0,0,5,44.7,"B,C,W",1
2324,2148,2522,9735.5,0,0,5,44.4,"B,C,W",1
2323,2520,2521,9734.5,0,0,5,36.0,"B,C,W",0
2322,2519,926,2422.5,0,0,4,54.0,"B,C,W",1
2312,2515,2514,2412.5,0,0,5,37.1,"B,C,W",1
2311,1763,2514,2411.5,0,0,5,35.1,"B,C,W",1
2290,2504,165,2390.5,0,0,5,34.25,"B,C,W",1
2248,2384,1612,2344.5,0,0,5,43.6,"B,C,W",1
2247,2479,1612,2343.5,0,0,4,50.6,"B,C,W",1
2210,2454,2453,2303.5,0,0,5,44.0,"B,C,W",1
2188,2436,2435,9719.5,0,0,5,34.9,"B,C,W",1
2182,1336,1285,2273.5,0,0,4,45.6,"B,C,W",1
2181,1219,1285,2272.5,0,0,5,38.2,"B,C,W",1
2164,2416,2419,9716.5,0,0,5,30.35,"B,C,W",0
2163,1695,2418,9715.5,0,0,5,34.15,"B,C,W",1
2162,2416,2417,2252.5,0,0,5,39.85,"B,C,W",0
2134,2402,2119,9713.5,0,0,5,44.9,"B,C,W",1
2133,1695,2401,9712.5,0,0,5,33.4,"B,C,W",1
1988,1207,2304,9703.5,0,0,5,30.0,"B,C,W",1
1980,2298,252,9702.5,0,0,4,46.9,"B,C,W",1
1935,2264,1479,2017.5,0,0,5,37.3,"B,C,W",0
1883,2224,2223,9691.5,0,0,5,31.45,"B,C,W",1
1865,2208,1063,7155.5,0,0,4,48.3,"B,C,W",1
1864,2207,1063,9690.5,0,0,5,43.35,"B,C,W",1
1847,654,2196,1925.5,0,1,1,92.0,"B,C,W",1
1841,2190,2188,1919.5,0,0,5,34.6,"B,C,W",1
1840,2189,2188,15936.5,0,0,4,45.4,"B,C,W",1
1814,2173,2172,15935.5,0,0,4,48.5,"B,C,W",1
1808,164,1763,1885.5,0,0,3,59.4,"B,C,W",1
1780,2149,2148,9684.5,0,0,5,44.8,"B,C,W",1
1775,937,2146,1851.5,0,0,5,33.45,"B,C,W",1
1774,1601,2146,1850.5,0,0,5,37.85,"B,C,W",1
1773,923,2146,1849.5,0,0,5,38.5,"B,C,W",1
1765,2140,1337,9683.5,0,0,5,44.7,"B,C,W",1
1764,1062,1337,1840.5,0,0,5,38.2,"B,C,W",1
1744,2119,2118,1820.5,0,0,5,44.4,"B,C,W",1
1731,1338,2111,1807.5,0,0,4,45.4,"B,C,W",1
1641,2025,1062,9676.5,0,0,5,38.0,"B,C,W",1
1640,1356,1062,1714.5,0,0,5,33.5,"B,C,W",1
1555,1953,1952,1628.5,0,0,5,38.9,"B,C,W",1
1522,1918,1920,9662.5,0,0,5,36.45,"B,C,W",0
1521,1918,118,1590.5,0,0,5,39.15,"B,C,W",0
1520,1918,1919,1589.5,0,0,5,38.25,"B,C,W",0
1444,1271,1845,1508.5,0,0,2,69.1,"B,C,W",1
1436,1835,1611,1500.5,0,0,5,43.5,"B,C,W",1
1402,1190,1803,1465.5,0,0,3,64.1,"B,C,W",1
1401,1219,1803,1464.5,0,0,5,43.05,"B,C,W",1
1381,1018,903,1444.5,0,0,5,32.8,"B,C,W",0
1380,1018,916,1443.5,0,0,5,30.4,"B,C,W",0
1345,1763,924,1406.5,0,0,3,58.0,"B,C,W",1
1279,1701,55,1333.5,0,0,4,53.9,"B,C,W",1
1274,1696,1693,1327.5,0,0,5,31.8,"B,C,W",1
1273,1695,1693,1326.5,0,0,5,38.0,"B,C,W",1
1272,1694,1693,1325.5,0,0,5,36.0,"B,C,W",1
1234,251,1665,1287.5,0,0,5,42.5,"B,C,W",1
1180,1614,1615,1231.5,0,0,4,46.2,"B,C,W",0
1165,1600,1601,9632.5,0,0,5,40.9,"B,C,W",0
1164,1598,923,1215.5,0,0,5,39.5,"B,C,W",0
1163,1598,1599,1214.5,0,0,5,44.6,"B,C,W",0
1130,1562,1561,9623.5,0,0,5,30.6,"B,C,W",1
1082,1506,166,1128.5,0,0,3,61.3,"B,C,W",1
1081,1505,1504,1127.5,0,0,3,64.2,"B,C,W",1
949,1356,716,987.5,0,0,5,41.7,"B,C,W",1
942,903,1350,9603.5,0,0,4,48.8,"B,C,W",1
927,1338,1336,964.5,0,0,4,45.8,"B,C,W",1
926,1337,1336,963.5,0,0,5,43.9,"B,C,W",1
909,1063,1319,946.5,0,0,5,41.6,"B,C,W",1
908,785,1319,945.5,0,0,5,41.1,"B,C,W",1
904,1314,1313,9601.5,0,0,4,52.05,"B,C,W",1
884,1285,1190,919.5,0,0,4,46.1,"B,C,W",1
880,1281,1280,915.5,0,1,1,81.2,"B,C,W",1
829,1220,1219,862.5,0,0,5,41.0,"B,C,W",1
818,1207,1206,851.5,0,0,5,30.0,"B,C,W",1
806,1190,1142,839.5,0,0,5,40.8,"B,C,W",1
803,1189,1188,836.5,0,1,1,92.5,"B,C,W",1
768,1144,1143,800.5,0,0,5,38.9,"B,C,W",1
767,1142,759,799.5,0,0,5,38.3,"B,C,W",1
737,1111,1112,9590.5,0,0,4,53.3,"B,C,W",0
736,1110,1109,766.5,0,0,5,30.0,"B,C,W",1
735,1107,1108,765.5,0,0,4,45.6,"B,C,W",0
713,1082,937,738.5,0,0,5,34.0,"B,C,W",1
698,1063,786,723.5,0,0,4,45.1,"B,C,W",1
697,1062,786,722.5,0,0,4,46.6,"B,C,W",1
665,917,1019,690.5,0,0,5,34.05,"B,C,W",0
664,917,1018,689.5,0,0,5,30.0,"B,C,W",0
601,252,936,625.5,0,0,5,36.9,"B,C,W",1
600,937,936,624.5,0,0,5,30.0,"B,C,W",1
593,927,653,617.5,0,0,2,69.9,"B,C,W",1
591,924,923,615.5,0,0,5,41.4,"B,C,W",1
590,165,923,614.5,0,0,5,39.95,"B,C,W",1
585,916,917,609.5,0,0,5,34.1,"B,C,W",0
584,916,251,608.5,0,0,5,37.5,"B,C,W",0
577,904,903,9581.5,0,0,4,48.5,"B,C,W",1
531,834,835,9575.5,0,0,5,39.15,"B,C,W",0
497,786,785,521.5,0,0,4,48.0,"B,C,W",1
478,759,758,501.5,0,0,5,38.95,"B,C,W",1
448,716,715,9572.5,0,0,5,31.2,"B,C,W",1
447,714,713,9571.5,0,0,5,30.0,"B,C,W",1
403,653,652,423.5,0,0,2,65.6,"B,C,W",1
278,450,56,13099.5,0,0,5,42.1,"B,C,W",1
175,287,286,12955.5,0,1,1,81.8,"B,C,W",1
174,284,285,183.5,0,1,1,77.7,"B,C,W",0
154,252,251,162.5,0,0,5,37.4,"B,C,W",1
101,166,164,105.5,0,0,3,60.4,"B,C,W",1
100,165,164,104.5,0,0,5,42.4,"B,C,W",1
72,120,118,75.5,0,0,5,40.9,"B,C,W",1
71,119,118,74.5,0,0,5,32.1,"B,C,W",1
32,54,55,32.5,0,0,4,51.45,"B,C,W",0
